uid,vad_threshold,vtc_threshold,iou,precision,recall,vtc_dur,vad_dur,tp
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_0_0563,0.1,0.7,0.3195,0.9856,0.321,15221.38,46743.248,15002.311
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1196,0.1,0.7,0.3019,0.9976,0.3021,12122.0,40026.384,12092.325
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1306,0.1,0.7,0.2788,0.9922,0.2794,11469.835,40734.112,11379.912
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1328,0.1,0.7,0.4154,0.982,0.4186,19496.68,45737.056,19146.2
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1405,0.1,0.7,0.3443,0.991,0.3454,17583.75,50450.368,17424.733
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1698,0.1,0.7,0.2081,0.9976,0.2082,11960.88,57316.064,11932.338
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1801,0.1,0.7,0.3077,0.9937,0.3083,17798.875,57375.44,17686.389
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1862,0.1,0.7,0.2917,0.9718,0.2942,11480.99,37929.568,11157.662
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_1_1931,0.1,0.7,0.1842,0.9967,0.1843,10605.735,57361.648,10570.809
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2101,0.1,0.7,0.2482,0.998,0.2484,11120.45,44684.4,11097.802
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2231,0.1,0.7,0.3814,0.9918,0.3826,21758.17,56405.616,21580.651
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2470,0.1,0.7,0.124,0.9904,0.1241,7211.25,57538.624,7142.045
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2471,0.1,0.7,0.224,0.9908,0.2244,13024.585,57498.496,12905.028
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2852,0.1,0.7,0.3367,0.9965,0.3371,15649.405,46268.48,15594.833
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_2_2941,0.1,0.7,0.1627,0.9967,0.1628,9315.46,57041.216,9285.042
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3024,0.1,0.7,0.2888,0.9959,0.2891,16662.44,57400.032,16594.869
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3108,0.1,0.7,0.2826,0.9985,0.2827,11259.54,39765.68,11242.98
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3340,0.1,0.7,0.2222,0.9971,0.2223,12567.43,56360.128,12531.396
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3702,0.1,0.7,0.3243,0.9912,0.3253,18717.315,57037.088,18551.714
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3778,0.1,0.7,0.1546,0.9968,0.1547,3807.455,24528.464,3795.124
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_3_3895,0.1,0.7,0.3721,0.9875,0.3738,17595.595,46484.192,17376.357
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4073,0.1,0.7,0.1428,0.978,0.1433,8396.845,57319.264,8212.359
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4078,0.1,0.7,0.2148,0.9979,0.2149,12331.71,57258.224,12306.231
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4172,0.1,0.7,0.2503,0.9988,0.2504,14391.655,57408.0,14374.447
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4182,0.1,0.7,0.2782,0.9975,0.2784,12332.75,44182.912,12302.121
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4330,0.1,0.7,0.2546,0.9937,0.255,14730.58,57403.776,14637.528
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4520,0.1,0.7,0.1318,0.9856,0.132,4194.92,31315.152,4134.698
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4524,0.1,0.7,0.1889,0.9898,0.1893,10981.725,57432.96,10869.726
webdav_ACLEW_data_03-raw_data_01-raw_data_whole_corpora_Bergelson_4_4550,0.1,0.7,0.2189,0.9874,0.2195,12702.155,57128.384,12542.126
